100 HEC-Recognized Arts Universities in Pakistan

National College of Arts (NCA), Lahore
Indus Valley School of Art and Architecture, Karachi
Beaconhouse National University (BNU), Lahore
Fatima Jinnah Women University, Rawalpindi
University of Karachi (Visual Studies Department), Karachi
Lahore College for Women University (LCWU), Lahore
University of the Punjab (College of Art & Design), Lahore
University of Peshawar (Arts and Humanities), Peshawar
Iqra University (Media and Design), Karachi
Institute of Art & Culture (IAC), Lahore
National Textile University, Faisalabad
Riphah International University (Media Arts Department), Islamabad
COMSATS University (Media Department), Islamabad
Superior University (Fine Arts Department), Lahore
University of Gujrat (School of Arts and Design), Gujrat
University of Lahore (School of Creative Arts), Lahore
University of Sargodha (Fine Arts), Sargodha
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology (SZABIST), Karachi
University of Central Punjab (School of Media and Arts), Lahore
Kinnaird College for Women (Arts Department), Lahore
Habib University (School of Arts, Humanities, and Social Sciences), Karachi
Sir Syed University of Engineering and Technology (Media Department), Karachi
Institute of Business Administration (IBA) (Media Arts), Karachi
Government College University, Lahore (Fine Arts Department)
Forman Christian College University (FCCU), Lahore
Bahauddin Zakariya University (Arts Faculty), Multan
Gomal University (Arts Faculty), D.I. Khan
Islamia College University (Arts and Humanities), Peshawar
Sardar Bahadur Khan Women University (Fine Arts), Quetta
University of Balochistan (Arts Faculty), Quetta
University of Swat (Fine Arts Department), Swat
University of Malakand (Arts and Humanities), Chakdara
Shaheed Benazir Bhutto University (Fine Arts), Sheringal
Abdul Wali Khan University (Arts Department), Mardan
National University of Modern Languages (NUML) (Media Arts), Islamabad
Quaid-e-Azam University (Arts and Humanities), Islamabad
Shaheed Benazir Bhutto Women University (Fine Arts), Peshawar
University of the Punjab (Media and Arts), Gujranwala Campus
Khadim Ali Shah Bukhari Institute of Technology (Arts Department), Karachi
Dadabhoy Institute of Higher Education (Arts Faculty), Karachi
Alhamd Islamic University (Fine Arts), Quetta
Preston University (Fine Arts Department), Islamabad
Shaheed Zulfiqar Ali Bhutto University of Law (Arts Dept), Karachi
Benazir Bhutto Shaheed University Lyari (Arts and Design), Karachi
Karachi School of Arts, Karachi
Arts Council Institute of Arts and Crafts, Karachi
University of Lahore (School of Visual Arts), Lahore
University of South Asia (School of Media and Arts), Lahore
Minhaj University (Media Arts), Lahore
Federal Urdu University of Arts, Science, and Technology (Arts Faculty), Karachi
SMI University (Arts and Design), Karachi
The Women University Multan (Fine Arts), Multan
Institute of Southern Punjab (Fine Arts Department), Multan
Lahore Garrison University (Fine Arts Faculty), Lahore
Lahore Leads University (Fine Arts Department), Lahore
University of Wah (School of Creative Arts), Wah Cantt
Abasyn University (Fine Arts Department), Peshawar
IQRA National University (Fine Arts), Peshawar
Bacha Khan University (Fine Arts Faculty), Charsadda
University of Education (Arts and Design), Lahore
Fatima Jinnah Women University (Fine Arts), Rawalpindi
The Islamia University of Bahawalpur (Fine Arts Department), Bahawalpur
Kohat University of Science and Technology (Fine Arts), Kohat
GIFT University (School of Arts and Design), Gujranwala
GCUF Faisalabad (Arts and Humanities), Faisalabad
University of Narowal (Fine Arts Department), Narowal
University of Swabi (Arts and Design Faculty), Swabi
Karakoram International University (Arts and Design), Gilgit
Mirpur University of Science and Technology (Arts Dept), Mirpur AJK
University of Azad Jammu and Kashmir (Fine Arts), Muzaffarabad
University of FATA (Fine Arts Department), Kohat
University of Lakki Marwat (Arts and Design Faculty), Lakki Marwat
Green International University (Fine Arts Department), Lahore
DHA Suffa University (Fine Arts Faculty), Karachi
Shifa Tameer-e-Millat University (Fine Arts), Islamabad
Balochistan University of IT and Management Sciences (Fine Arts), Quetta
University of Management and Technology (Fine Arts), Lahore
Qarshi University (Arts Department), Lahore
Hajvery University (Arts Faculty), Lahore
Barani Institute of Information Technology (Arts Department), Rawalpindi
Shaheed Benazir Bhutto City University (Arts Faculty), Karachi
University of Sahiwal (Fine Arts Faculty), Sahiwal
Shaheed Benazir Bhutto University of Veterinary and Animal Sciences (Arts Dept), Sakrand
Northern University (Fine Arts Faculty), Nowshera
The University of Faisalabad (Fine Arts), Faisalabad
Newports Institute of Communications and Economics (Arts Department), Karachi
Superior University (Fine Arts Department), Lahore
Institute of Business and Technology (Media Department), Karachi
Abasyn University (Media Arts Department), Peshawar
Sindh Institute of Management and Technology (Media Arts), Karachi
Greenwich University (Fine Arts Department), Karachi
DHA Suffa University (Media Arts), Karachi
The Institute of Chartered Accountants of Pakistan (Arts Faculty), Karachi
The City School (Media Arts Faculty), Lahore
The Lyceum (Media Arts), Karachi
Riphah International University (Fine Arts), Islamabad
Bahria University (Media Arts), Islamabad
Institute of Business Management (Media and Arts Faculty), Karachi
Shaheed Mohtarma Benazir Bhutto Medical University (Arts Dept), Larkana
Balochistan University of Arts and Culture, Quetta
