100 HEC-Recognized General Universities in Pakistan

Quaid-i-Azam University, Islamabad
University of the Punjab, Lahore
University of Karachi, Karachi
Government College University, Lahore
Government College University, Faisalabad
University of Peshawar, Peshawar
University of Sindh, Jamshoro
Bahauddin Zakariya University, Multan
University of Sargodha, Sargodha
University of Gujrat, Gujrat
Islamia College University, Peshawar
The Islamia University of Bahawalpur
University of Malakand, Chakdara
University of Azad Jammu and Kashmir, Muzaffarabad
Hazara University, Mansehra
Virtual University of Pakistan
University of Haripur, Haripur
University of Lahore, Lahore
Fatima Jinnah Women University, Rawalpindi
Federal Urdu University of Arts, Science, and Technology, Karachi
Shaheed Benazir Bhutto University, Nawabshah
University of Swabi, Swabi
University of Turbat, Turbat
Shaheed Benazir Bhutto Women University, Peshawar
Gomal University, D.I. Khan
Abdul Wali Khan University, Mardan
University of South Asia, Lahore
Shaheed Zulfiqar Ali Bhutto University of Law, Karachi
Preston University, Islamabad
Institute of Southern Punjab, Multan
Benazir Bhutto Shaheed University, Karachi
Karakoram International University, Gilgit
The Women University Multan
University of Wah, Wah Cantt
University of Sialkot, Sialkot
Lahore Garrison University, Lahore
Lahore Leads University, Lahore
University of Okara, Okara
The Millennium University College, Islamabad
Alhamd Islamic University, Quetta
Mohammad Ali Jinnah University, Karachi
Shaheed Benazir Bhutto University, Sheringal
University of Balochistan, Quetta
University of FATA, Kohat
University of Lakki Marwat, Lakki Marwat
Mirpur University of Science and Technology, Mirpur AJK
The Islamia University of Bahawalpur
Iqra University, Karachi
Indus University, Karachi
Allama Iqbal Open University, Islamabad
Superior University, Lahore
Abasyn University, Peshawar
Kinnaird College for Women, Lahore
Minhaj University, Lahore
Hajvery University, Lahore
Sindh Madressatul Islam University, Karachi
Green International University, Lahore
Capital University of Science and Technology (CUST), Islamabad
Jinnah University for Women, Karachi
The University of Faisalabad, Faisalabad
Habib University, Karachi
Aga Khan University, Karachi
Institute of Business Administration (IBA), Karachi
Pakistan Institute of Development Economics (PIDE), Islamabad
University of Health Sciences, Lahore
National Defence University (NDU), Islamabad
GIFT University, Gujranwala
DHA Suffa University, Karachi
Shifa Tameer-e-Millat University, Islamabad
Riphah International University, Islamabad
Lahore School of Economics, Lahore
COMSATS University, Islamabad
Bahria University, Islamabad
Ziauddin University, Karachi
Nazeer Hussain University, Karachi
Indus Valley School of Art and Architecture, Karachi
National College of Arts, Lahore
Beaconhouse National University, Lahore
Forman Christian College University, Lahore
Garrison University, Lahore
University of Engineering and Technology (UET), Lahore
University of Engineering and Technology (UET), Peshawar
HITEC University, Taxila
Ghulam Ishaq Khan Institute, Topi
Pakistan Institute of Engineering and Applied Sciences (PIEAS), Islamabad
Dawood University of Engineering and Technology, Karachi
Lahore College for Women University, Lahore
Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS), Quetta
Mehran University of Engineering and Technology, Jamshoro
Sukkur IBA University, Sukkur
National University of Computer and Emerging Sciences (FAST-NUCES), Islamabad
Institute of Management Sciences, Peshawar
Air University, Islamabad
University of Swat, Swat
University of Science and Technology, Bannu
University of Science and Technology, Kohat
Quaid-e-Azam University, Islamabad
Shaheed Benazir Bhutto Women University, Peshawar
National Textile University, Faisalabad
City University of Science and IT, Peshawar
